sample_index,hardware_time,dt_hw,read_time,dt_read,batch_time,dt_batch,Fx,Fy,Fz,Tx,Ty,Tz
84,0.168000000,0.002000000,0.169956008,0.002144867,0.169953999,0.002144975,0.008160706,0.000714388,0.003519857,0.000048489,0.000280319,0.000261473
85,0.170000000,0.002000000,0.172072351,0.002116343,0.172070398,0.002116399,-0.003597730,0.005237539,-0.013126431,-0.000050864,0.000059527,0.000148684
86,0.172000000,0.002000000,0.173181264,0.001108913,0.173179064,0.001108666,0.000425882,0.004929719,0.006802211,-0.000003762,-0.000018913,-0.000021721
87,0.174000000,0.002000000,0.175322365,0.002141101,0.175320365,0.002141301,-0.007620371,-0.004101562,-0.006502420,0.000044787,0.000120065,0.000035475
88,0.176000000,0.002000000,0.177462501,0.002140136,0.177460567,0.002140202,0.004528172,0.009731517,-0.016772074,0.000236423,-0.000057882,0.000121808
89,0.178000000,0.002000000,0.179590769,0.002128268,0.179588734,0.002128167,0.002454737,-0.012329004,-0.017025763,0.000240402,-0.000049783,0.000145655
90,0.180000000,0.002000000,0.181723463,0.002132694,0.181721182,0.002132448,-0.011497749,0.000296429,0.000457158,0.000098847,-0.000240291,0.000255364
91,0.182000000,0.002000000,0.183869540,0.002146077,0.183867501,0.002146319,-0.001583028,-0.000841976,0.000080524,-0.000194229,-0.000071095,0.000032255
92,0.184000000,0.002000000,0.185998734,0.002129194,0.185996779,0.002129278,-0.009429377,-0.000662967,-0.023358810,0.000283619,-0.000024791,0.000036896
93,0.186000000,0.002000000,0.188119588,0.002120854,0.188117561,0.002120782,0.000555045,-0.002182708,-0.003465798,0.000047396,-0.000267776,0.000058980
94,0.188000000,0.002000000,0.189218883,0.001099295,0.189216843,0.001099282,-0.001698263,-0.014424735,-0.016778384,-0.000047274,0.000120127,0.000201954
95,0.190000000,0.002000000,0.191348961,0.002130078,0.191346753,0.002129910,0.000298884,-0.001520422,-0.019902118,0.000048344,0.000167348,0.000317633
96,0.192000000,0.002000000,0.193479751,0.002130790,0.193477709,0.002130956,0.000476050,-0.004327750,-0.006768425,0.000095822,-0.000130944,0.000116677
97,0.194000000,0.002000000,0.195610399,0.002130648,0.195608250,0.002130541,0.000218589,0.000607342,0.003713018,-0.000238884,0.000120103,0.000258174
98,0.196000000,0.002000000,0.197717779,0.002107380,0.197716318,0.002108068,0.002520703,-0.000789694,-0.016889429,0.000094394,-0.000134643,0.000118235
99,0.198000000,0.002000000,0.199794693,0.002076914,0.199793381,0.002077063,0.006189932,-0.007486705,-0.000036700,-0.000097170,0.000258462,0.000119409
100,0.200000000,0.002000000,0.201901089,0.002106396,0.201899536,0.002106155,-0.005563694,0.001634177,-0.006489688,0.000092902,0.000034061,0.000063749
101,0.202000000,0.002000000,0.204017780,0.002116691,0.204015691,0.002116155,0.002518565,-0.010453562,0.006362573,-0.000049146,-0.000260781,-0.000083687
102,0.204000000,0.002000000,0.206106020,0.002088240,0.206104634,0.002088943,-0.003708893,-0.008817183,0.000174541,-0.000335371,0.000015583,0.000143041
103,0.206000000,0.002000000,0.207173919,0.001067899,0.207172913,0.001068279,-0.003292212,-0.011538164,-0.020577105,0.000139937,-0.000321401,-0.000137438
104,0.208000000,0.002000000,0.209264269,0.002090350,0.209262865,0.002089952,-0.007562396,0.002796169,-0.006426550,-0.000003895,0.000035468,0.000035566
105,0.210000000,0.002000000,0.211353081,0.002088812,0.211351917,0.002089052,-0.009568293,-0.007842472,0.006845318,0.000093681,-0.000013117,-0.000051792
106,0.212000000,0.002000000,0.213446185,0.002093104,0.213444510,0.002092593,-0.007476825,-0.008960258,-0.010106665,0.000189276,-0.000073013,-0.000022803
