time,Fx,Fy,Fz,Tx,Ty,Tz
49.91400000,-1.24780093,0.45105962,2.93392859,-0.03928492,0.02450436,-0.01102619
49.91600000,-1.23716424,0.45285303,2.95465210,-0.03900515,0.02467582,-0.01106374
49.91800000,-1.24441032,0.44438875,2.95259693,-0.03944130,0.02465952,-0.01086806
49.92000000,-1.24583535,0.45240302,2.94394908,-0.03933310,0.02458795,-0.01105795
49.92200000,-1.24764050,0.46056513,2.94883132,-0.03941567,0.02462948,-0.01125269
49.92400000,-1.25183811,0.46034478,2.94180815,-0.03950737,0.02457137,-0.01124916
49.92600000,-1.25742140,0.46363099,2.93062266,-0.03935024,0.02447790,-0.01132636
49.92800000,-1.24712754,0.47028336,2.97061677,-0.03935120,0.02481094,-0.01148144
49.93000000,-1.26525512,0.46828062,2.93604305,-0.03933001,0.02452288,-0.01143653
49.93200000,-1.23328416,0.46419469,2.94530920,-0.03938723,0.02460111,-0.01133844
49.93400000,-1.25750469,0.45952079,2.95890354,-0.03925284,0.02471185,-0.01122554
49.93600000,-1.25961384,0.46284226,2.95458431,-0.03939149,0.02467679,-0.01130651
49.93800000,-1.26575837,0.46363409,2.94041091,-0.03947999,0.02455932,-0.01132756
49.94000000,-1.25929861,0.45834386,2.95572655,-0.03910630,0.02468466,-0.01119609
49.94200000,-1.26922104,0.45685573,2.94196420,-0.03899711,0.02456938,-0.01116067
49.94400000,-1.27931462,0.46039303,2.95431594,-0.03907029,0.02467208,-0.01124509
49.94600000,-1.26605088,0.45205035,2.93962900,-0.03934898,0.02455121,-0.01105067
49.94800000,-1.28019135,0.45980111,2.93370700,-0.03955910,0.02450302,-0.01123828
49.95000000,-1.27515661,0.46252515,2.94037478,-0.03907722,0.02455678,-0.01129670
49.95200000,-1.27845312,0.45650728,2.94475205,-0.03961270,0.02459470,-0.01115979
49.95400000,-1.27835605,0.44725147,2.94011456,-0.03933441,0.02455418,-0.01093676
49.95600000,-1.27272422,0.43933736,2.94898131,-0.03935240,0.02462739,-0.01074803
49.95800000,-1.27301876,0.43697248,2.94945436,-0.03945198,0.02463152,-0.01069297
49.96000000,-1.27711189,0.43919093,2.94872320,-0.03953948,0.02462584,-0.01074693
49.96200000,-1.28906683,0.44122768,2.94086765,-0.03951828,0.02456019,-0.01079601
49.96400000,-1.29120153,0.43569086,2.95570628,-0.03942187,0.02468234,-0.01066227
49.96600000,-1.27791913,0.42970376,2.94388959,-0.03974554,0.02458570,-0.01052419
49.96800000,-1.28348123,0.43131857,2.96727697,-0.03948682,0.02477861,-0.01055806
49.97000000,-1.28965082,0.42844399,3.00521900,-0.03942427,0.02509273,-0.01048655
49.97200000,-1.28670827,0.41640545,2.98742957,-0.03973955,0.02494546,-0.01020523
49.97400000,-1.28288184,0.41405750,2.98469977,-0.03979810,0.02492301,-0.01015018
49.97600000,-1.28404708,0.41569856,3.00154099,-0.03935378,0.02506099,-0.01018278
49.97800000,-1.30106461,0.41277589,2.99095169,-0.03976799,0.02497383,-0.01011948
49.98000000,-1.29871891,0.41397145,2.98744208,-0.03962541,0.02494431,-0.01014638
49.98200000,-1.30938522,0.42175747,2.98838634,-0.04013132,0.02495453,-0.01033776
49.98400000,-1.29498955,0.42087931,2.98934976,-0.03996224,0.02496238,-0.01031436
49.98600000,-1.29815280,0.43218741,2.96965685,-0.03980045,0.02479911,-0.01058273
49.98800000,-1.31134221,0.44735641,2.97934598,-0.03965968,0.02487972,-0.01094142
49.99000000,-1.28063381,0.45157140,2.99361205,-0.03950886,0.02499926,-0.01103791
49.99200000,-1.28504933,0.44918959,2.99728796,-0.03964947,0.02502995,-0.01098283
49.99400000,-1.28941681,0.43698799,2.96568755,-0.03956692,0.02476600,-0.01069409
49.99600000,-1.29925494,0.44999383,2.98955950,-0.03972316,0.02496555,-0.01100380
49.99800000,-1.28257180,0.44986744,2.96317874,-0.03946514,0.02474623,-0.01099904
50.00000000,-1.29178295,0.44525166,2.98406066,-0.03993713,0.02492073,-0.01089376
50.00200000,-1.29517152,0.44270368,2.96413735,-0.03955016,0.02475332,-0.01083006
50.00400000,-1.30588920,0.43017717,2.98691854,-0.03954394,0.02494076,-0.01053094
50.00600000,-1.31722721,0.43917907,2.97418286,-0.03937005,0.02483462,-0.01074411
50.00800000,-1.30321165,0.43844875,2.98867637,-0.03939174,0.02495558,-0.01072557
50.01000000,-1.29418137,0.44301827,2.96775522,-0.03901663,0.02478115,-0.01083092
50.01200000,-1.30392243,0.44676830,2.98698969,-0.03889458,0.02494018,-0.01091759
50.01400000,-1.29342062,0.44791449,2.97365261,-0.03871911,0.02482931,-0.01094335
50.01600000,-1.30334305,0.44642636,2.95989027,-0.03860992,0.02471403,-0.01090793
50.01800000,-1.30687468,0.45373514,2.97862581,-0.03849380,0.02486955,-0.01107912
50.02000000,-1.30986055,0.45646468,2.95369764,-0.03912127,0.02466543,-0.01115329
50.02200000,-1.30577255,0.43592871,2.95872316,-0.03857109,0.02470311,-0.01065805
50.02400000,-1.29713158,0.44076625,2.95813638,-0.03838525,0.02469828,-0.01077063
50.02600000,-1.29083428,0.43518937,2.95980425,-0.03811140,0.02471073,-0.01063448
50.02800000,-1.29418649,0.42470075,2.97204958,-0.03855395,0.02481316,-0.01038964
50.03000000,-1.30916717,0.40241143,2.96952235,-0.03846099,0.02478908,-0.00985927
50.03200000,-1.32350511,0.39854150,2.95943591,-0.03849241,0.02470449,-0.00976878
50.03400000,-1.30564015,0.38197703,2.98803874,-0.03819845,0.02493995,-0.00936896
50.03600000,-1.32379736,0.38955371,2.97513280,-0.03840340,0.02483357,-0.00955297
50.03800000,-1.30951562,0.38376100,2.96012970,-0.03819503,0.02470827,-0.00941337
50.04000000,-1.30653323,0.37240663,2.97978339,-0.03845369,0.02487161,-0.00914506
50.04200000,-1.30635236,0.37245290,2.97982261,-0.03835682,0.02487153,-0.00914500
50.04400000,-1.32328176,0.36299056,2.98787889,-0.03853327,0.02493753,-0.00892211
50.04600000,-1.32938492,0.35005581,2.97693605,-0.03825054,0.02484404,-0.00861218
50.04800000,-1.31480839,0.34922393,2.97793869,-0.03798459,0.02485181,-0.00858873
50.05000000,-1.32794150,0.34180116,2.97197536,-0.03836171,0.02480266,-0.00841756
50.05200000,-1.32251122,0.34070406,2.97918760,-0.03866218,0.02486395,-0.00839438
50.05400000,-1.32062227,0.34184404,2.97898207,-0.03876102,0.02486285,-0.00842261
50.05600000,-1.30619645,0.33657835,2.99123529,-0.03844983,0.02496340,-0.00829244
50.05800000,-1.31608159,0.33980136,2.98321344,-0.03843060,0.02489658,-0.00836969
50.06000000,-1.30286255,0.31505294,2.95185653,-0.03834524,0.02463430,-0.00778207
50.06200000,-1.30507338,0.31450459,2.98942673,-0.03838352,0.02494615,-0.00776696
50.06400000,-1.30313590,0.31101666,2.98690245,-0.03834322,0.02492480,-0.00768368
50.06600000,-1.30935656,0.31679696,2.99546061,-0.03856640,0.02499703,-0.00782335
50.06800000,-1.30299437,0.31557065,2.98245615,-0.03838698,0.02488850,-0.00779276
50.07000000,-1.31070496,0.32501465,2.99703877,-0.03840754,0.02501014,-0.00801676
50.07200000,-1.29259883,0.32609284,2.98056083,-0.03848831,0.02487463,-0.00804393
50.07400000,-1.29639511,0.32405326,2.99458044,-0.03828764,0.02498978,-0.00799221
50.07600000,-1.29325996,0.30791384,3.00172858,-0.03836096,0.02504810,-0.00760879
50.07800000,-1.28839893,0.31969028,3.00280782,-0.03820802,0.02505770,-0.00788672
50.08000000,-1.29306990,0.30783992,2.99496353,-0.03826558,0.02499154,-0.00760636
50.08200000,-1.28504612,0.30311638,2.98277810,-0.03819042,0.02489002,-0.00749377
50.08400000,-1.27119253,0.30729130,3.01658143,-0.03839597,0.02517247,-0.00759270
50.08600000,-1.28550978,0.29655807,3.00811028,-0.03824178,0.02509988,-0.00733673
50.08800000,-1.27855253,0.29391246,2.99855975,-0.03879283,0.02502303,-0.00728082
50.09000000,-1.28115175,0.30628392,3.03003617,-0.03828083,0.02528312,-0.00756676
50.09200000,-1.29125504,0.30474952,3.01623460,-0.03826851,0.02516791,-0.00753140
50.09400000,-1.28355569,0.30464456,3.00971121,-0.03847706,0.02511499,-0.00753160
50.09600000,-1.27346006,0.29188841,2.99610451,-0.03817328,0.02500006,-0.00722535
50.09800000,-1.27777084,0.29454134,3.02255121,-0.03835170,0.02522038,-0.00728885
50.10000000,-1.29217164,0.27710198,3.02588215,-0.03805810,0.02524454,-0.00687097
