time,Fx,Fy,Fz,Tx,Ty,Tz
0.314000,0.003363,0.002831,-0.016761,0.000191,-0.000122,0.000161
0.316000,0.001299,0.001493,0.006780,0.000143,-0.000087,0.000019
0.318000,0.007406,0.007404,-0.016903,0.000189,-0.000123,0.000050
0.320000,-0.004727,0.007313,0.017132,0.000189,-0.000003,-0.000035
0.322000,0.003248,0.007565,-0.006614,0.000042,0.000130,-0.000032
0.324000,0.005208,-0.003106,0.009986,0.000046,0.000027,-0.000037
0.326000,0.007253,0.007473,-0.000015,0.000187,0.000102,-0.000032
0.328000,-0.008568,0.009651,-0.009611,-0.000144,-0.000309,0.000158
0.330000,0.001305,0.010871,0.003491,0.000090,0.000049,-0.000117
0.332000,0.005390,-0.003287,-0.003615,-0.000050,-0.000250,-0.000040
0.334000,0.009295,0.018036,-0.013317,0.000042,0.000068,0.000054
0.336000,0.003249,-0.006622,0.003279,-0.000096,-0.000110,0.000045
0.338000,-0.004630,0.007348,0.000136,0.000136,0.000024,-0.000202
0.340000,0.007225,-0.008917,0.003015,-0.000004,0.000056,-0.000149
0.342000,-0.010592,0.001425,0.000374,-0.000047,-0.000304,0.000100
0.344000,0.003337,-0.004122,-0.017020,0.000187,0.000049,-0.000090
0.346000,0.005179,0.001810,-0.003376,0.000139,0.000242,-0.000060
0.348000,0.007471,-0.016036,-0.020855,0.000189,-0.000224,-0.000151
0.350000,-0.000671,0.000308,-0.000064,-0.000198,-0.000053,-0.000205
0.352000,0.009279,-0.005409,-0.007059,-0.000051,-0.000030,-0.000065
0.354000,0.009258,-0.003130,-0.000258,-0.000098,-0.000057,-0.000038
0.356000,0.005337,-0.003138,-0.006933,-0.000003,-0.000114,-0.000037
0.358000,-0.004800,-0.001800,0.003621,-0.000098,0.000056,0.000019
0.360000,0.011271,0.002660,-0.000154,-0.000145,-0.000143,0.000074
0.362000,0.009104,-0.005431,0.023447,0.000194,0.000054,0.000102
0.364000,0.003131,0.005163,0.013653,-0.000050,0.000136,0.000021
0.366000,-0.000675,-0.004051,-0.023557,-0.000100,-0.000004,-0.000007
0.368000,-0.000545,0.004917,-0.010091,-0.000004,-0.000226,-0.000065
0.370000,-0.012772,-0.004219,0.010448,-0.000147,0.000034,-0.000094
0.372000,-0.004691,0.000195,0.016982,-0.000001,-0.000163,-0.000040
0.374000,0.009196,0.003691,0.023401,-0.000147,-0.000026,-0.000122
0.376000,-0.012597,0.002872,-0.016531,0.000088,0.000051,-0.000173
0.378000,-0.006599,-0.003379,0.006715,-0.000244,-0.000242,-0.000209
0.380000,-0.000758,0.009733,0.003662,-0.000340,-0.000029,-0.000008
0.382000,-0.010679,0.001719,-0.009640,-0.000001,-0.000059,0.000104
0.384000,-0.004840,-0.006612,0.023706,0.000096,0.000060,-0.000038
0.386000,0.007132,0.009751,0.020373,0.000095,0.000105,0.000078
0.388000,-0.004677,0.002701,0.000168,-0.000100,-0.000056,-0.000093
0.390000,-0.004797,-0.001730,-0.003104,-0.000147,0.000083,0.000020
0.392000,-0.006714,-0.014804,0.006669,0.000047,-0.000077,-0.000096
0.394000,-0.008714,0.002661,0.013866,0.000096,-0.000111,0.000074
0.396000,-0.004739,0.012010,0.010544,-0.000195,-0.000057,0.000020
0.398000,-0.006763,-0.000649,0.000292,-0.000147,0.000029,-0.000009
0.400000,0.003415,0.004944,-0.006764,0.000142,-0.000201,0.000020
0.402000,-0.006771,-0.002842,-0.013204,-0.000341,0.000084,-0.000036
0.404000,-0.008705,0.007437,0.003838,0.000046,-0.000031,0.000049
0.406000,-0.004699,-0.001798,-0.009966,-0.000053,0.000026,-0.000063
0.408000,0.005329,0.001736,-0.016901,0.000284,0.000044,0.000024
0.410000,-0.000787,-0.001696,-0.006700,-0.000007,0.000219,-0.000145
0.412000,-0.004825,0.005423,-0.006271,0.000093,0.000214,0.000108
0.414000,0.001131,-0.005124,-0.003233,-0.000001,0.000163,0.000105
0.416000,0.004951,-0.007328,0.010242,0.000049,0.000357,0.000162
0.418000,-0.002727,0.001653,0.000195,0.000142,0.000023,0.000021
0.420000,-0.004731,0.000479,0.003667,0.000241,-0.000033,0.000132
0.422000,0.001253,0.001651,-0.003263,-0.000099,-0.000003,0.000020
0.424000,0.009067,-0.005117,0.003254,0.000142,0.000299,0.000023
